,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022
W16-25 Total,6949000,8132000,8541000,8481000,8517000,9035000,9013000,8885000,8576000,8898000,8990000,8895000,9057000,9729000,9975000,9295000,9199000,9360000,9305000,9374000,9183000,9270000,9412000,9365000,9418000,10016000,10259000,9911000,9388000
W25-54 Total,41499000,42832000,42761000,43739000,44108000,44995000,45187000,45250000,44914000,45202000,45537000,45554000,45584000,45167000,45259000,45476000,46069000,46348000,46875000,47068000,46978000,47025000,47675000,47553000,47543000,46963000,46793000,47399000,47731000
W55+ Total,15009000,15421000,15816000,16292000,16355000,16609000,16714000,16523000,16358000,16567000,16778000,16745000,16707000,16393000,16444000,16791000,17028000,17095000,17142000,17266000,17081000,17188000,17116000,17151000,17270000,17009000,17061000,16900000,17197000
White Total,107761000,112020000,112913000,115205000,115603000,117599000,117041000,116479000,115454000,116369000,116981000,117458000,117808000,117832000,118974000,118601000,119154000,119891000,120431000,120536000,120320000,121402000,122122000,121625000,121823000,121949000,122376000,122115000,122403000
Black or African American Total,16530000,17019000,17283000,17551000,17609000,18109000,18184000,18066000,18124000,17989000,18281000,18555000,18603000,18881000,18883000,18934000,19063000,19120000,19232000,19045000,19392000,19566000,19695000,19992000,20147000,20082000,20027000,19824000,20041000
Asian Total,8462000,8786000,9207000,9491000,9581000,9588000,9675000,9664000,9533000,9873000,9817000,9722000,9834000,9851000,10118000,10181000,10245000,10312000,10365000,10344000,10403000,10256000,10493000,10453000,10613000,10602000,10731000,10841000,10882000
Hispanic or Latino Total,23321000,24794000,24998000,25859000,25897000,26754000,26821000,26442000,26120000,26527000,26848000,26922000,27105000,27280000,27652000,27635000,27813000,28154000,28648000,28443000,28595000,28991000,29155000,29155000,29305000,29443000,29191000,29498000,29515000
Married Total,76118000,77620000,77550000,79124000,78195000,78952000,78917000,78608000,78245000,78930000,78937000,79169000,78835000,77933000,78016000,78123000,78866000,79119000,79974000,80260000,81148000,81718000,81803000,81717000,81987000,81289000,81442000,81615000,82716000
"Widowed, Divorced, or Separated Total",19790000,20705000,20741000,21066000,21527000,22325000,22447000,22191000,22068000,21805000,21991000,21650000,22254000,22168000,22197000,22686000,23189000,23253000,23254000,22795000,22258000,22572000,22683000,22868000,22944000,22583000,22492000,22856000,23208000
Never Married Total,41552000,44486000,46201000,47035000,48074000,49156000,48840000,48814000,48070000,48787000,49565000,50340000,50690000,52182000,53383000,52423000,51972000,52595000,52570000,52677000,52212000,52652000,53620000,53405000,53679000,54806000,55133000,54243000,53079000
Own Children Under 18 Total,45193000,46521000,46995000,47598000,47220000,47786000,47962000,48282000,47501000,47778000,47656000,48310000,48146000,48117000,47597000,47691000,47909000,48365000,48933000,49091000,49761000,50144000,50481000,50701000,50544000,50207000,49093000,49678000,50437000
Own Children Over 18 Total,92268000,96290000,97497000,99626000,100576000,102648000,102241000,101331000,100882000,101744000,102837000,102850000,103632000,104166000,105999000,105541000,106117000,106602000,106864000,106641000,105858000,106799000,107625000,107290000,108065000,108471000,109974000,109036000,108566000
Less Than High School Diploma Total,6887000,7218000,6884000,7536000,8093000,8243000,8585000,8288000,8297000,7579000,7997000,8205000,8181000,8404000,8214000,8542000,8644000,8365000,8462000,8271000,8044000,8141000,8456000,8808000,8975000,8917000,8248000,8153000,8674000
"High School Graduate, No College Total",28708000,29355000,30274000,31007000,32284000,32910000,32622000,32006000,31482000,31750000,31902000,32451000,32661000,32306000,32721000,33473000,33351000,33774000,33831000,34154000,34877000,34793000,35365000,35168000,34826000,34366000,33890000,34354000,34244000
Some College or Associate Degree Total,31581000,32643000,32755000,33169000,33055000,33863000,33647000,33538000,33142000,33292000,33608000,33622000,33812000,34000000,33955000,33611000,34273000,34236000,34374000,34335000,33871000,33931000,34468000,34586000,34600000,34639000,34416000,34147000,34609000
Bachelor's Degree Only Total,33778000,34353000,34841000,35371000,35130000,35227000,35317000,35675000,36057000,36578000,36456000,35952000,36124000,35355000,35843000,35895000,36411000,36707000,37042000,37052000,37078000,37800000,37547000,37656000,37842000,36906000,37778000,37846000,38024000
Advanced Degree Total,22155000,22690000,22230000,22564000,21891000,21972000,21970000,22309000,21944000,22514000,22629000,22805000,22591000,22516000,22595000,22546000,22802000,22947000,23139000,23096000,23271000,23575000,23308000,22922000,23227000,23260000,23743000,24103000,24450000
16-19 RW,261000,322000,242000,189000,154000,122000,136000,177000,129000,138000,106000,117000,87000,64000,85000,57000,49000,72000,65000,70000,104000,46000,43000,23000,27000,32000,95000,61000,58000
20-24 RW,2454000,2168000,1927000,1765000,1646000,1552000,1629000,1661000,1581000,1383000,1411000,1227000,1163000,976000,928000,850000,728000,736000,647000,550000,921000,875000,636000,444000,448000,461000,488000,472000,293000
25-34 RW,12190000,11391000,9566000,9306000,8752000,8241000,8257000,9245000,8830000,8668000,8317000,7061000,6882000,5926000,5421000,5380000,5507000,4790000,4849000,4870000,6147000,5531000,4225000,3357000,3261000,3174000,3005000,2983000,2491000
35-44 RW,12199000,11012000,9668000,8876000,8401000,7970000,8280000,8789000,8832000,8403000,7761000,6977000,6349000,5807000,5403000,5329000,5313000,4752000,4610000,4607000,6282000,5487000,4014000,3073000,3085000,2971000,2961000,2553000,2150000
45-54 RW,10594000,9744000,8113000,7740000,7241000,6922000,7208000,7720000,7532000,7464000,6886000,6010000,5256000,4598000,4247000,4436000,4450000,3846000,3745000,3511000,5230000,4207000,3278000,2721000,2433000,2235000,2320000,2160000,1694000
55-64 RW,8362000,7527000,6454000,5891000,5434000,5237000,5277000,5782000,5643000,5815000,5280000,4683000,4204000,3529000,3160000,3362000,3275000,2872000,2677000,2800000,3997000,3204000,2785000,1936000,1854000,1853000,1831000,1589000,1199000
65+ RW,2643000,2481000,2224000,2034000,1873000,1910000,1950000,2126000,1937000,2021000,1793000,1568000,1227000,1103000,1028000,1147000,1026000,985000,940000,950000,1256000,1049000,822000,636000,577000,505000,578000,488000,391000
M16-25 RW,1073000,1034000,937000,842000,735000,649000,672000,790000,739000,692000,651000,647000,555000,492000,490000,474000,363000,396000,338000,322000,478000,380000,318000,193000,219000,235000,271000,277000,145000
M25-54 RW,16363000,14929000,13384000,12601000,11568000,10897000,11122000,12094000,11949000,11652000,11030000,9600000,8988000,8033000,7579000,7481000,7615000,6486000,6484000,6417000,8619000,7530000,5730000,4518000,4317000,4080000,4190000,3849000,3146000
M55+ RW,5339000,4810000,4189000,3783000,3418000,3433000,3544000,3844000,3653000,3795000,3444000,3078000,2645000,2264000,2019000,2160000,2102000,1929000,1848000,1860000,2647000,2177000,1806000,1285000,1150000,1133000,1188000,1091000,771000
W16-25 RW,1642000,1456000,1232000,1111000,1066000,1025000,1093000,1048000,971000,830000,866000,698000,695000,549000,523000,434000,414000,412000,374000,298000,547000,542000,361000,274000,257000,259000,312000,255000,205000
W25-54 RW,18621000,17218000,13963000,13320000,12826000,12236000,12623000,13661000,13245000,12883000,11934000,10448000,9498000,8297000,7491000,7664000,7655000,6901000,6720000,6571000,9040000,7694000,5787000,4634000,4462000,4300000,4097000,3847000,3189000
W55+ RW,5667000,5198000,4488000,4142000,3889000,3714000,3682000,4064000,3927000,4040000,3628000,3173000,2787000,2368000,2168000,2349000,2199000,1927000,1769000,1890000,2607000,2075000,1800000,1287000,1281000,1226000,1222000,986000,819000
White RW,38029000,34489000,29028000,26957000,25267000,24351000,25159000,26999000,26320000,25533000,23685000,20738000,18634000,15995000,14615000,14717000,14647000,12979000,12579000,12499000,17968000,14911000,11440000,8536000,8276000,7963000,7953000,7146000,5666000
Black or African American RW,4844000,4379000,3921000,3673000,3456000,3227000,3250000,3494000,3412000,3514000,3289000,2762000,2537000,2314000,2041000,2122000,2079000,1901000,1857000,1800000,2393000,2178000,1650000,1284000,1200000,1179000,1219000,1139000,817000
Asian RW,4391000,4265000,4033000,4051000,3788000,3362000,3351000,3802000,3517000,3731000,3541000,3239000,3175000,2917000,3048000,3093000,2891000,2586000,2452000,2435000,2794000,2604000,2211000,1934000,1822000,1670000,1706000,1662000,1456000
Hispanic or Latino RW,5372000,5240000,4658000,4112000,3694000,3387000,3510000,3782000,3617000,3559000,3450000,2914000,2561000,2337000,2215000,2179000,2193000,1744000,1778000,1717000,2661000,2226000,1841000,1140000,1223000,1292000,1388000,1331000,829000
Married RW,29821000,27148000,22939000,21473000,19521000,18805000,19459000,21077000,20494000,20035000,18571000,16459000,14703000,12598000,11380000,11805000,11691000,10210000,10122000,9927000,14189000,11737000,9182000,6853000,6604000,6391000,6453000,5980000,4648000
"Widowed, Divorced, or Separated RW",6205000,5776000,4826000,4417000,4266000,4136000,4226000,4460000,4314000,4371000,3994000,3407000,3051000,2673000,2534000,2590000,2670000,2426000,2197000,2232000,2987000,2575000,2143000,1611000,1454000,1355000,1374000,1149000,991000
Never Married RW,12678000,11720000,10429000,9910000,9714000,9013000,9052000,9964000,9677000,9486000,8988000,7778000,7414000,6733000,6357000,6167000,5988000,5416000,5214000,5199000,6762000,6088000,4478000,3726000,3627000,3485000,3451000,3177000,2637000
Own Children Under 18 RW,17574000,16161000,13814000,12858000,11912000,11274000,11494000,12485000,12009000,11608000,10839000,9662000,8592000,7621000,6927000,7057000,7168000,6205000,6239000,6037000,8655000,7098000,5415000,3970000,4013000,3848000,3789000,3566000,2739000
Own Children Over 18 RW,31130000,28484000,24380000,22942000,21589000,20680000,21242000,23016000,22475000,22285000,20714000,17981000,16576000,14383000,13344000,13504000,13181000,11847000,11294000,11321000,15283000,13301000,10388000,8220000,7673000,7383000,7489000,6739000,5536000
Less Than High School Diploma RW,355000,346000,289000,235000,293000,208000,254000,264000,209000,248000,260000,193000,164000,113000,153000,201000,229000,101000,144000,80000,222000,139000,119000,102000,99000,71000,117000,72000,67000
"High School Graduate, No College RW",4379000,3690000,3044000,2662000,2605000,2345000,2391000,2738000,2564000,2456000,2564000,2007000,1726000,1498000,1331000,1515000,1772000,1310000,1183000,1184000,1885000,1432000,1140000,780000,752000,796000,844000,774000,624000
Some College or Associate Degree RW,7928000,7274000,6176000,5717000,5118000,4984000,5377000,5677000,5338000,5208000,4995000,4112000,3579000,3080000,2979000,3239000,3428000,2711000,2530000,2566000,3503000,2983000,2396000,1571000,1665000,1734000,1778000,1521000,1272000
Bachelor's Degree Only RW,18069000,16488000,14454000,13602000,12845000,12337000,12402000,13372000,13434000,13403000,12324000,10736000,10182000,8775000,8140000,8141000,7929000,7243000,7222000,7268000,9485000,8323000,6365000,5223000,4729000,4510000,4299000,4034000,3351000
Advanced Degree RW,15258000,14356000,12062000,11630000,10839000,10406000,10547000,11611000,11230000,11055000,9893000,9250000,8269000,7496000,6656000,6558000,6214000,5880000,5742000,5639000,7818000,6600000,5104000,4049000,3964000,3627000,3658000,3372000,2612000
Full-Time Workers Total,116620000,120169000,121198000,123619000,122998000,124165000,124325000,124415000,123717000,123981000,124840000,125635000,126579000,127156000,128863000,128664000,128484000,128848000,129322000,129824000,129747000,130712000,131663000,131362000,132820000,133626000,133844000,133630000,133027000
Part-Time Workers Total,20841000,22642000,23294000,23605000,24798000,26269000,25879000,25197000,24666000,25541000,25653000,25524000,25199000,25127000,24732000,24568000,25542000,26119000,26475000,25908000,25871000,26230000,26443000,26629000,25789000,25052000,25223000,25085000,25976000
Management Occupations Total,18179000,18950000,18414000,18547000,18491000,18656000,18771000,18529000,18506000,18781000,18790000,18962000,19066000,19265000,18985000,19192000,19014000,18651000,19383000,19232000,19279000,19812000,19603000,20088000,20200000,20301000,20695000,20794000,20518000
Business and Financial Operations Occupations Total,8414000,7978000,8514000,8543000,8256000,8348000,8501000,8612000,8801000,8633000,8764000,8664000,8810000,8951000,9015000,8968000,8938000,9014000,8951000,9032000,9257000,9318000,9225000,8930000,8669000,8879000,9092000,9315000,9262000
Computer and Mathematical Occupations Total,5763000,5990000,5853000,5533000,5209000,5351000,5223000,5614000,5692000,5870000,5920000,5686000,5608000,5596000,5774000,5440000,5580000,5509000,5702000,5882000,6060000,6061000,6080000,5865000,5867000,6027000,6266000,6287000,6371000
Architecture and Engineering Occupations Total,3169000,3007000,2990000,3223000,3113000,3217000,3344000,3176000,3048000,3153000,3115000,2955000,3147000,3173000,3157000,3291000,3276000,3444000,3507000,3555000,3343000,3383000,3452000,3282000,3539000,3589000,3548000,3465000,3410000
"Life, Physical, and Social Science Occupations Total",1616000,1767000,1693000,1726000,1544000,1573000,1489000,1644000,1529000,1576000,1542000,1554000,1632000,1566000,1650000,1664000,1810000,1732000,1654000,1772000,1676000,1818000,1818000,1803000,1881000,1875000,1887000,1836000,1798000
Community and Social Services Occupations Total,2698000,2794000,2817000,2696000,2663000,2609000,2660000,2675000,2680000,2727000,2675000,2882000,2809000,2837000,2850000,2725000,2886000,2815000,2706000,2732000,2702000,2781000,2900000,2909000,3052000,2924000,3105000,2918000,3077000
Legal Occupations Total,1882000,1919000,1844000,1910000,1914000,1926000,1885000,1858000,1724000,1787000,1849000,1767000,1766000,1757000,1779000,1765000,1902000,1841000,1906000,1816000,1866000,1934000,1876000,1803000,1778000,1804000,1798000,1841000,1836000
"Education, Training, and Library Occupations Total",8436000,8495000,7839000,8409000,8880000,9206000,9236000,9189000,9069000,9294000,8954000,9151000,9076000,8433000,8306000,8186000,8963000,9283000,9251000,9384000,9417000,9524000,9518000,9433000,9433000,8652000,8356000,8710000,9510000
"Arts, Design, Entertainment, Sports, and Media Occupations Total",2817000,2932000,2964000,2858000,3020000,3001000,2956000,2958000,3022000,3026000,3204000,3150000,3095000,3181000,3082000,3122000,3004000,3275000,3295000,3350000,3294000,3236000,3279000,3391000,3415000,3439000,3474000,3461000,3482000
Healthcare Practitioners and Technical Occupations Total,9356000,9503000,9565000,9650000,9669000,9391000,9323000,9752000,9814000,9625000,9690000,9491000,9259000,9557000,9581000,9768000,9790000,9772000,9705000,9611000,9845000,9887000,10071000,9816000,9816000,9734000,9654000,9751000,9792000
Healthcare Support Occupations Total,4281000,4525000,4190000,4588000,4937000,5069000,5239000,4984000,4838000,4742000,4702000,5036000,4890000,4787000,4821000,4852000,5015000,5098000,5126000,4736000,4749000,4682000,4906000,5025000,5124000,5016000,4717000,5049000,4903000
Protective Service Occupations Total,2824000,3041000,3135000,3259000,3128000,3068000,3017000,2854000,2857000,2841000,3001000,3032000,2995000,3068000,3162000,2941000,2902000,2967000,3022000,3055000,3068000,2957000,3125000,2976000,3075000,3216000,3193000,3099000,2990000
Food Preparation and Serving Related Occupations Total,4785000,5606000,6159000,6137000,6835000,7031000,6930000,6289000,6375000,6775000,6792000,7252000,7174000,7497000,7823000,7471000,7925000,7691000,7883000,7787000,7558000,7582000,7950000,8086000,8211000,8075000,8061000,7788000,7923000
Building and Grounds Cleaning and Maintenance Occupations Total,4599000,4934000,5025000,5017000,5183000,5527000,5325000,5130000,5073000,4889000,5131000,5323000,5413000,5504000,5811000,5776000,5925000,5840000,5632000,5468000,5127000,5201000,5435000,5500000,5707000,5886000,5727000,5729000,5951000
Personal Care and Service Occupations Total,2597000,3058000,3421000,3672000,3344000,3441000,3310000,3232000,3224000,3326000,3568000,3560000,3550000,3776000,4078000,3900000,3907000,3861000,3588000,3774000,3730000,3806000,3960000,3852000,3907000,4003000,4114000,4010000,3971000
Sales and Related Occupations Total,12434000,13463000,14234000,14402000,14157000,14531000,14711000,14809000,14641000,14630000,14503000,14056000,14265000,14246000,14378000,14277000,14225000,14155000,14528000,14527000,14581000,14927000,14489000,14306000,14477000,14311000,14213000,14112000,13878000
Office and Administrative Support Occupations Total,14497000,14995000,15238000,16032000,15539000,15970000,15921000,15904000,15654000,15819000,16017000,15936000,16098000,15593000,15149000,15394000,15368000,15759000,16355000,16422000,16583000,16456000,16431000,16358000,15957000,15953000,16253000,15886000,15725000
"Farming, Fishing, and Forestry Occupations Total",1118000,948000,983000,977000,966000,1117000,1006000,1019000,984000,1006000,1025000,1090000,1155000,1227000,1129000,1146000,1024000,1076000,909000,961000,924000,963000,945000,894000,1002000,1090000,1178000,1037000,934000
Construction and Extraction Occupations Total,6872000,7371000,7675000,7972000,8038000,8240000,8024000,7580000,7790000,7497000,7647000,7933000,7922000,8163000,8312000,8330000,8332000,8356000,8250000,8158000,8094000,8286000,8318000,8395000,8514000,8542000,8388000,8312000,8628000
"Installation, Maintenance, and Repair Occupations Total",440000,4460000,4524000,4610000,4679000,4599000,4648000,4593000,4461000,4706000,4730000,4946000,5022000,4844000,5107000,5113000,4939000,4826000,4731000,4655000,4840000,4842000,4900000,4941000,4774000,4770000,4864000,4877000,4956000
Production Occupations Total,6868000,7187000,7315000,7427000,7696000,7753000,7848000,8039000,7840000,7766000,7668000,7691000,7769000,7950000,8254000,8231000,7967000,8268000,7928000,8066000,7973000,7993000,8111000,8418000,8281000,8544000,8464000,8486000,8222000
Transportation and Material Moving Occupations Total,9883000,9887000,10100000,10037000,10534000,10809000,10837000,11174000,10761000,11052000,11207000,11040000,11256000,11313000,11392000,11679000,11335000,11733000,11785000,11755000,11651000,11492000,11713000,11921000,11928000,12050000,12021000,11952000,11866000
Agriculture and Related Industries Total,2365000,2353000,2271000,2259000,2309000,2620000,2441000,2390000,2346000,2184000,2109000,2196000,2337000,2399000,2401000,2385000,2272000,2418000,2194000,2253000,2224000,2262000,2256000,2265000,2399000,2385000,2562000,2207000,2165000
"Mining, Quarrying, and Oil and Gas Extraction Total",711000,679000,620000,666000,636000,582000,586000,591000,564000,554000,568000,591000,626000,637000,723000,644000,625000,588000,544000,574000,524000,566000,547000,571000,589000,618000,688000,624000,626000
Construction Total,9864000,10571000,10753000,11162000,11227000,11349000,11316000,10807000,11061000,10828000,10962000,11171000,11093000,11230000,11471000,11500000,11508000,11494000,11492000,11446000,11365000,11650000,11462000,11704000,11969000,12107000,11914000,11947000,11967000
Durable Goods Manufacturing Total,8495000,8866000,8854000,9053000,9046000,9213000,9156000,9411000,9257000,9371000,9251000,8930000,9065000,9003000,9247000,9290000,9424000,9681000,9770000,9898000,9667000,9891000,9664000,9470000,9358000,9532000,9694000,9781000,9517000
Nondurable Goods Manufacturing Total,5420000,5337000,5292000,5319000,5396000,5367000,5493000,5408000,5201000,5335000,5232000,5451000,5401000,5278000,5274000,5352000,5431000,5512000,5440000,5518000,5525000,5611000,5784000,5996000,5699000,5800000,5714000,5665000,5491000
Wholesale Trade Total,3218000,3151000,3384000,3298000,3352000,3533000,3393000,3430000,3330000,3462000,3456000,3419000,3533000,3619000,3578000,3562000,3410000,3319000,3361000,3366000,3435000,3445000,3025000,3085000,3018000,3108000,3099000,3164000,3224000
Retail Trade Total,13985000,14632000,15431000,15475000,15770000,16627000,17156000,16658000,16243000,16265000,16246000,16007000,15937000,16005000,16232000,16072000,15750000,16168000,16509000,16629000,16457000,16438000,16222000,15990000,16337000,16482000,16322000,16254000,16207000
Transportation and Warehousing Total,6609000,6557000,6857000,6873000,7199000,7394000,7488000,7494000,7383000,7375000,7572000,7861000,7983000,8001000,7891000,8268000,8474000,8345000,8538000,8516000,8582000,8370000,8645000,8877000,8811000,8897000,8705000,8451000,8726000
Utilities Total,1289000,1392000,1485000,1392000,1497000,1398000,1381000,1333000,1350000,1335000,1340000,1397000,1344000,1386000,1371000,1434000,1370000,1335000,1281000,1375000,1398000,1367000,1422000,1318000,1299000,1378000,1412000,1382000,1352000
Information Total,2358000,2469000,2468000,2524000,2484000,2521000,2481000,2610000,2661000,2742000,2864000,2849000,2882000,2921000,2715000,2623000,2578000,2579000,2658000,2581000,2662000,2760000,2798000,2836000,2702000,2802000,2827000,2856000,2879000
Finance and Insurance Total,7451000,7557000,7217000,7704000,7670000,7627000,7372000,7722000,7686000,7898000,7815000,7416000,7263000,7426000,7281000,7252000,7415000,7486000,7499000,7523000,7755000,7852000,8009000,7863000,7753000,7591000,7536000,7643000,7773000
Real Estate and Rental and Leasing Total,2754000,3054000,3176000,3191000,2970000,2833000,2971000,3000000,3054000,3083000,3145000,3169000,3276000,3284000,3289000,3375000,3165000,3313000,3414000,3173000,3146000,3316000,3308000,3368000,3356000,3257000,3257000,3076000,3206000
Professional and Technical Services Total,12296000,12687000,12909000,12986000,12405000,12549000,12143000,12635000,12210000,12380000,12625000,12543000,12779000,12838000,12975000,13160000,13198000,13133000,13329000,13357000,13257000,13480000,13444000,13357000,13723000,13680000,13854000,14235000,13860000
"Management, Administrative, and Waste Services Total",5968000,6139000,6071000,6119000,6246000,6315000,6462000,6108000,5879000,5880000,5992000,6175000,6345000,6404000,6623000,6547000,6579000,6824000,6856000,6909000,6870000,6821000,6838000,6822000,6816000,7067000,7064000,7038000,7129000
Educational Services Total,12861000,12876000,11929000,12561000,13239000,13759000,13597000,13566000,13723000,14056000,13764000,13948000,13706000,12758000,12589000,12540000,13465000,13764000,13880000,14060000,14055000,14231000,14316000,14142000,14018000,13021000,12935000,13233000,14093000
Hospitals Total,7059000,7158000,7312000,7262000,7446000,7166000,7202000,7442000,7494000,7325000,7278000,7330000,7278000,7684000,7515000,7560000,7360000,7052000,7247000,7248000,7329000,7396000,7650000,7473000,7653000,7428000,7153000,7394000,7214000
"Health Services, Except Hospitals Total",9664000,10037000,9912000,10345000,10483000,10484000,10624000,10575000,10449000,10486000,10890000,10768000,10795000,10277000,10423000,10800000,11000000,11066000,10804000,10589000,10465000,10629000,10715000,10885000,10872000,10624000,10569000,10474000,10687000
Social Assistance Total,2881000,3125000,3071000,3326000,3064000,3175000,3238000,3162000,3117000,3120000,3154000,3215000,3164000,3250000,3316000,3036000,3115000,3104000,3093000,3041000,3258000,3426000,3317000,3333000,3404000,3395000,3660000,3535000,3652000
"Arts, Entertainment, and Recreation Total",2061000,2454000,2766000,2627000,2402000,2401000,2243000,2326000,2392000,2461000,2651000,2632000,2790000,3159000,3386000,3152000,3071000,2930000,3003000,3120000,2957000,3198000,3144000,3295000,3168000,3608000,3862000,3655000,3390000
Accommodation and Food Services Total,6707000,7735000,8564000,8441000,8933000,9276000,9305000,8741000,8762000,9088000,9081000,9653000,9630000,10053000,10435000,10011000,10158000,9944000,10152000,9902000,9775000,9824000,10232000,10455000,10690000,10694000,10740000,10553000,10479000
"Other Services, Except Private Households Total",5582000,5837000,6039000,6050000,5846000,6131000,6180000,6113000,6060000,6211000,6257000,6482000,6542000,6472000,6716000,6594000,6768000,6923000,6710000,6594000,6680000,6328000,6766000,6703000,6982000,7097000,7220000,7135000,6920000
Private Households Total,498000,564000,708000,715000,683000,636000,626000,636000,622000,604000,650000,602000,586000,654000,679000,733000,768000,766000,654000,585000,575000,572000,575000,591000,610000,616000,729000,777000,705000
Public Administration Total,7364000,7581000,7405000,7877000,7493000,7479000,7350000,7453000,7538000,7478000,7592000,7352000,7420000,7546000,7466000,7343000,7122000,7222000,7367000,7475000,7655000,7509000,7967000,7591000,7383000,7491000,7554000,7635000,7741000
Private Industries Worker Total,102342000,106786000,109159000,110716000,111502000,113458000,113757000,113526000,112073000,113129000,113576000,114520000,114807000,115624000,116934000,116376000,117176000,117570000,118366000,118242000,117941000,119331000,120034000,120229000,120434000,121417000,121907000,121410000,121060000
Federal Worker Total,3858000,3863000,3870000,4197000,4050000,4077000,3827000,3873000,3813000,3803000,3793000,3705000,3885000,3946000,3965000,3979000,3780000,3776000,3830000,3949000,4035000,3738000,3901000,3887000,3812000,3927000,4109000,3922000,4034000
State Worker Total,6870000,7040000,6636000,6786000,6788000,6786000,7012000,6952000,7054000,7258000,7141000,7013000,6732000,6707000,6581000,6691000,6946000,6912000,7190000,7227000,7192000,7344000,7455000,7283000,7252000,6644000,6582000,6849000,6922000
Local Worker Total,9296000,9595000,9148000,9504000,9574000,9988000,9853000,9985000,10090000,10191000,10055000,9961000,10034000,9660000,9424000,9650000,9666000,9937000,9960000,10117000,10420000,10364000,10390000,10008000,9977000,9755000,9838000,10011000,10259000
"Self-employed Workers, Incorporated Total",6249000,6208000,6279000,6327000,6275000,6315000,6236000,5859000,5938000,5670000,6024000,6196000,6063000,6210000,6144000,6091000,6146000,6334000,6363000,6213000,6366000,6291000,6322000,6678000,6823000,6659000,6643000,6672000,6710000
"Self-employed Workers, Unincorporated Total",8772000,9218000,9278000,9603000,9540000,9681000,9443000,9322000,9293000,9341000,9766000,9634000,10126000,10033000,10456000,10351000,10234000,10332000,10004000,9908000,9564000,9772000,9902000,9828000,10211000,10179000,9893000,9752000,9935000
Full-Time Workers RW,44334000,40252000,34565000,32816000,30531000,28761000,29588000,32272000,31516000,30783000,28646000,25166000,23051000,20288000,18764000,18978000,18607000,16596000,16154000,16041000,22191000,18915000,14702000,11381000,10843000,10414000,10480000,9635000,7690000
